Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:11 PM,114,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,17543.859649122805,114.0,0.0,114.0,114.0,114.0,114.0,0.0,114.0,114.0,0,0,0,0,0,0,0,0,0,72,0,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:12 PM,32,2,0,2840.0,0.0,2840.0,0.0,1420.0,2008.183258569795,0,0,0,0,8.875E7,62500.0,32.0,0.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,0,0,0,0,0,1,0,0,0,64,0,62500.0,0.0,0.0,2840.0,1893.3333333333335,1639.6747644985371,2688533.333333333,0,0,0,1,2,0,0,0,0.0,2840.0,1420.0,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:12 PM,302,3,0,271.0,0.0,96.0,80.0,90.33333333333333,8.962886439832502,0,0,0,0,897350.9933774833,9933.774834437085,151.0,117.37972567696688,234.0,68.0,302.0,151.0,117.37972567696688,234.0,68.0,0,0,0,0,0,1,0,0,0,96,0,9933.774834437085,0.0,80.0,96.0,87.75,8.958236433584458,80.25,0,0,0,3,3,0,0,0,0.0,117.0,90.33333333333333,0.0,0,0,0,0,0,0,0,0,0,0,547,0,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:12 PM,280,2,1,31.0,569.0,31.0,0.0,15.5,21.920310216782973,569.0,569.0,569.0,0.0,2142857.142857143,10714.285714285716,140.0,197.9898987322333,280.0,0.0,280.0,280.0,0.0,280.0,280.0,0,0,0,0,0,0,0,0,0,64,32,7142.857142857143,3571.4285714285716,0.0,569.0,150.0,279.7153314830395,78240.66666666667,0,0,0,2,3,0,0,0,0.0,200.0,15.5,569.0,0,0,0,0,0,0,0,0,0,0,16,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:12 PM,297,4,2,503.0,224.0,479.0,0.0,125.75000000000001,235.77160558472684,193.0,31.0,112.0,114.5512985522207,2447811.4478114475,20202.0202020202,59.4,70.67036153862523,165.0,0.0,297.0,99.0,64.09368143584827,165.0,37.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,140,64,13468.013468013467,6734.0067340067335,0.0,479.0,172.28571428571428,219.80727489152423,48315.2380952381,0,0,0,4,6,0,0,0,0.0,201.0,125.75,112.0,0,0,0,727,4,2447811,0,0,0,0,16,16,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-172.67.69.102-58300-443-6,192.168.192.168,58300,172.67.69.102,443,6,08/12/2025 12:32:12 PM,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,1000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51072-443-6,192.168.192.168,51072,104.26.12.245,443,6,08/12/2025 12:32:12 PM,49,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40816.32653061225,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,0,0,0,0,0,72,0,40816.32653061225,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51072-443-6,192.168.192.168,51072,104.26.12.245,443,6,08/12/2025 12:32:12 PM,26,2,0,2840.0,0.0,2840.0,0.0,1420.0,2008.183258569795,0,0,0,0,1.0923076923076923E8,76923.07692307692,26.0,0.0,26.0,26.0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,0,1,0,0,0,64,0,76923.07692307692,0.0,0.0,2840.0,1893.3333333333335,1639.6747644985371,2688533.333333333,0,0,0,1,2,0,0,0,0.0,2840.0,1420.0,0.0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51072-443-6,192.168.192.168,51072,104.26.12.245,443,6,08/12/2025 12:32:12 PM,283,4,0,271.0,0.0,96.0,46.0,67.75,24.308777564218786,0,0,0,0,957597.1731448764,14134.275618374559,94.33333333333333,100.97689504700239,207.0,12.0,283.0,94.33333333333333,100.97689504700239,207.0,12.0,0,0,0,0,0,1,0,0,0,128,0,14134.275618374559,0.0,46.0,96.0,70.2,21.753160689885966,473.20000000000005,0,0,0,4,4,0,0,0,0.0,87.75,67.75,0.0,0,0,0,271,4,957597,0,0,0,0,547,0,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.192.168-104.26.12.245-51072-443-6,192.168.192.168,51072,104.26.12.245,443,6,08/12/2025 12:32:12 PM,254,2,0,591.0,0.0,560.0,31.0,295.5,374.05948724768365,0,0,0,0,2326771.653543307,7874.0157480314965,254.0,0.0,254.0,254.0,254.0,254.0,0.0,254.0,254.0,0,0,0,0,0,1,0,0,0,64,0,7874.0157480314965,0.0,31.0,560.0,383.66666666666663,305.41829240131204,93280.33333333334,0,0,0,2,2,0,0,0,0.0,575.5,295.5,0.0,0,0,0,0,0,0,0,0,0,0,16,0,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
